stage,method,weight_boundary,threshold,sensitivity,specificity,mcc,w12,w23,w34,qwk,macro_f1
stage1,weighted,0.25,0.30000000000000004,0.9429133858267716,0.75177304964539,0.7058002170786671,,,,,
stage1,weighted,0.25,0.3500000000000001,0.9271653543307087,0.8368794326241135,0.7389769731878489,,,,,
stage1,weighted,0.25,0.40000000000000013,0.9173228346456693,0.875886524822695,0.75046769861822,,,,,
stage1,weighted,0.25,0.45000000000000007,0.9005905511811023,0.9113475177304965,0.7491846532264609,,,,,
stage1,weighted,0.25,0.5000000000000001,0.8838582677165354,0.9184397163120568,0.7287970715105198,,,,,
stage1,weighted,0.25,0.5500000000000002,0.8730314960629921,0.950354609929078,0.7369148250031244,,,,,
stage1,weighted,0.25,0.6000000000000002,0.860236220472441,0.9680851063829787,0.7324295392663132,,,,,
stage1,weighted,0.25,0.6500000000000001,0.8375984251968503,0.9787234042553191,0.710760219260151,,,,,
stage1,weighted,0.25,0.7000000000000002,0.8248031496062992,0.9929078014184397,0.705665426561946,,,,,
stage1,weighted,0.25,0.7500000000000002,0.7923228346456693,1.0,0.6732125147382213,,,,,
stage1,weighted,0.25,0.8000000000000002,0.7431102362204725,1.0,0.621228342129346,,,,,
stage1,weighted,0.25,0.8500000000000002,0.6860236220472441,1.0,0.5673575692130134,,,,,
stage1,weighted,0.25,0.9000000000000002,0.6200787401574803,1.0,0.5116344080996812,,,,,
stage1,weighted,0.30000000000000004,0.1,0.9950787401574803,0.2730496453900709,0.4545069072611927,,,,,
stage1,weighted,0.30000000000000004,0.15000000000000002,0.9832677165354331,0.3723404255319149,0.5025271473355464,,,,,
stage1,weighted,0.30000000000000004,0.20000000000000004,0.9744094488188977,0.524822695035461,0.6042493177034675,,,,,
stage1,weighted,0.30000000000000004,0.25000000000000006,0.9557086614173228,0.6453900709219859,0.6525436325144339,,,,,
stage1,weighted,0.30000000000000004,0.30000000000000004,0.9419291338582677,0.7624113475177305,0.711752167244517,,,,,
stage1,weighted,0.30000000000000004,0.3500000000000001,0.9261811023622047,0.8439716312056738,0.7424342274119609,,,,,
stage1,weighted,0.30000000000000004,0.40000000000000013,0.9163385826771654,0.8900709219858156,0.7592239005328844,,,,,
stage1,weighted,0.30000000000000004,0.45000000000000007,0.8986220472440944,0.9113475177304965,0.7460835059166346,,,,,
stage1,weighted,0.30000000000000004,0.5000000000000001,0.8809055118110236,0.9361702127659575,0.7376799207522605,,,,,
stage1,weighted,0.30000000000000004,0.5500000000000002,0.8720472440944882,0.9574468085106383,0.7408265198188888,,,,,
stage1,weighted,0.30000000000000004,0.6000000000000002,0.8494094488188977,0.9716312056737588,0.7206311901681548,,,,,
stage1,weighted,0.30000000000000004,0.6500000000000001,0.8346456692913385,0.9858156028368794,0.7124301122049994,,,,,
